ABUS Node	Expected Value	Rscale	ABUS_RANGE_SELECT	ABUS_MUX_A_EN	ABUS_MUX_A_SEL0	ABUS_MUX_A_SEL1	ABUS_MUX_A_SEL2	ABUS_MUX_A_SEL3	B7_ABUS_MUX_A_EN	B7_ABUS_MUX_SEL0	B7_ABUS_MUX_SEL1	B7_ABUS_MUX_SEL2	B7_ABUS_MUX_SEL3	RFPathDCPower_BottomSideLeftSide_ABUS_MUX_A_EN	RFPathDCPower_BottomSideLeftSide_ABUS_MUX_SEL0	RFPathDCPower_BottomSideLeftSide_ABUS_MUX_SEL1	RFPathDCPower_BottomSideLeftSide_ABUS_MUX_SEL2	RFPathDCPower_BottomSideLeftSide_ABUS_MUX_SEL3	RFPathDCPower_BottomSide_ABUS_MUX_A_EN	RFPathDCPower_BottomSide_ABUS_MUX_SEL0	RFPathDCPower_BottomSide_ABUS_MUX_SEL1	RFPathDCPower_BottomSide_ABUS_MUX_SEL2	RFPathDCPower_BottomSide_ABUS_MUX_SEL3	YIGDiv_ABUS_MUX_SEL0	YIGDiv_ABUS_MUX_SEL1	YIGDiv_ABUS_MUX_SEL2	YIGDiv_ABUS_MUX_SEL3	YIGDiv_ABUS_MUX_C_EN	RFPathDCPower_TopSideLeftSide_ABUS_MUX_A_EN	RFPathDCPower_TopSideLeftSide_ABUS_MUX_SEL0	RFPathDCPower_TopSideLeftSide_ABUS_MUX_SEL1	RFPathDCPower_TopSideLeftSide_ABUS_MUX_SEL2	RFPathDCPower_TopSideLeftSide_ABUS_MUX_SEL3	YIGFundDoub_ABUS_MUX_A_EN	YIGFundDoub_ABUS_MUX_SEL0	YIGFundDoub_ABUS_MUX_SEL1	YIGFundDoub_ABUS_MUX_SEL2	YIGFundDoub_ABUS_MUX_SEL3	YIGFundDoub_ABUS_MUX_B_EN	YIGFundDoub_ABUS_MUX_C_EN	RFPathDCPower_TopSide_ABUS_MUX_A_EN	RFPathDCPower_TopSide_ABUS_MUX_SEL0	RFPathDCPower_TopSide_ABUS_MUX_SEL1	RFPathDCPower_TopSide_ABUS_MUX_SEL2	RFPathDCPower_TopSide_ABUS_MUX_SEL3
Register Name		000	ET2	ET2	ET2	ET2	ET2	ET2	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	SrcOut	YIGDiv	YIGDiv	YIGDiv	YIGDiv	YIGDiv	BotGr3	BotGr3	BotGr3	BotGr3	BotGr3	TopGr1	TopGr1	TopGr1	TopGr1	TopGr1	TopGr2	TopGr2	TopGr2	TopGr2	TopGr2	TopGr2	TopGr2	RFPathDCPower_ABUS	RFPathDCPower_ABUS	RFPathDCPower_ABUS	RFPathDCPower_ABUS	RFPathDCPower_ABUS
PowerABUSv_SrcOutOutTop_N5V0	-5	001	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PowerABUSv_SrcOut_N30V0	-30	003	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TempABUS_TopSensor1	90	001	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABUS_PINSP3T_YIGDoubFiltIn_BandA	1/-20	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABUS_PINSP3T_YIGDoubFiltIn_BandB	1/-20	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ABUS_PINSP3T_YIGDoubFiltIn_BandC	1/-20	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ABUS_PINSPDT_YIGDoubledToDaughterModule	1/-20	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
ABUS_HighBand_LiveOakPA3_IDD	0.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA3_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA2_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA2_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA2_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA1_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA1_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA1_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA4_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA4_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA4_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOakPA3_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOak2_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOak2_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
ABUS_HighBand_LiveOak2_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
ABUS_HighBand_LiveOak3_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABUS_HighBand_LiveOak3_VDD	15	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ABUS_HighBand_LiveOak3_VGG	-.2	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ABUS_HighBand_LiveOak1_VGG	-.2	002	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ABUS_HighBand_LiveOak1_VDD	15	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
ABUS_HighBand_LiveOak1_IDD	.5	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ABUS_HighBand_Mod1	NA	001	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0
